公司名称,职位名称,工作年限,教育程度,城市,薪资,福利,经度,纬度,公司规模,融资,地铁线
上海均直资产管理有限公司,Python软件开发工程师,1-3年,本科,上海,12k-15k,提供工作餐、绩效奖金、高端商业医疗保险,121.563058,31.206233,15-50人,未融资,2号线_龙阳路;2号线_世纪公园;7号线_龙阳路;磁悬浮_龙阳路
上海慧贤网络科技有限公司,python开发工程师,3-5年,本科,上海,15k-25k,支付宝投资 大平台 注重个人成长,121.432469,31.195635,150-500人,B轮,1号线_徐家汇;3号线_虹桥路;3号线_宜山路;4号线_虹桥路;9号线_徐家汇;9号线_宜山路;10号线_交通大学;10号线_虹桥路;10号线_交通大学;10号线_虹桥路;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学
上海估家网络科技有限公司,python开发工程师,1-3年,本科,上海,15k-20k,发展前景；管理权限,121.35361,31.222801,50-150人,B轮,2号线_淞虹路
上海思华科技股份有限公司,Python工程师,3-5年,本科,上海,18K-35K,弹性上班，培训机会，补充医疗，核心团队,121.604806,31.202789,150-500人,D轮及以上,2号线_金科路
普华永道信息技术（上海）有限公司,Python高级开发工程师,3-5年,本科,上海,15k-25k,外企福利 技术前沿,121.602387,31.205212,500-2000人,未融资,2号线_金科路;2号线_张江高科
钱咖网络科技（上海）有限公司,Python开发工程师,3-5年,本科,上海,15k-30k,周末双休 带薪年假 年度体检 季度团建,121.476194,31.194439,50-150人,不需要融资,4号线_鲁班路;4号线_大木桥路;12号线_大木桥路;13号线_世博会博物馆
北京字节跳动科技有限公司,资深Python研发工程师-广告系统,3-5年,本科,上海,20k-35k,六险一金，免费三餐，租房补贴，休闲下午茶,121.387863,31.166936,2000人以上,C轮,9号线_漕河泾开发区;9号线_合川路;12号线_东兰路;12号线_虹梅路
天思（上海）国际贸易有限公司,Python后端高级工程师,3-5年,本科,上海,25k-40k,弹性上下班 健身房会员 免费英文课,121.437866,31.19919,150-500人,不需要融资,1号线_徐家汇;1号线_衡山路;7号线_肇嘉浜路;9号线_肇嘉浜路;9号线_徐家汇;10号线_上海图书馆;10号线_交通大学;10号线_上海图书馆;10号线_交通大学;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学
上海善挚信息科技有限公司,Python 工程师,不限,大专,上海,15k-30k,氛围好，补充医疗保险，体检，员工旅游,121.52925,31.224623,15-50人,不需要融资,2号线_世纪大道;4号线_世纪大道;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线);6号线_世纪大道;6号线_源深体育中心;9号线_世纪大道;9号线_商城路
深圳市金证科技股份有限公司,python开发工程师（上海地区）,1-3年,本科,上海,13k-20k,证券金融上市公司，股权激励,121.58316,31.198617,2000人以上,上市公司,2号线_张江高科
